Country,City,UpdateTimeUTC,JamsDelay,TrafficIndexLive,JamsLengthInKms,JamsCount,TrafficIndexWeekAgo,UpdateTimeUTCWeekAgo,TravelTimeLivePer10KmsMins,TravelTimeHistoricPer10KmsMins,MinsDelay
IND,bangalore,16:30.0,783,45,115.9,218,34,31:30.0,31.74078434,28.79462868,2.946155662
IND,bangalore,31:30.0,704.8,43,84.5,178,37,31:30.0,31.6013447,28.49009369,3.11125101
IND,bangalore,31:30.0,938.5,50,118.3,251,38,46:30.0,33.13524474,29.53101029,3.604234444
IND,bangalore,31:32.6,944,51,115.7,223,36,16:30.0,33.33110145,29.82062531,3.510476139
IND,bangalore,31:30.0,1175.2,57,152.5,271,27,16:30.0,34.51128417,30.14934701,4.361937158
IND,bangalore,46:30.0,1436.9,58,177,326,17,16:30.0,34.6551268,30.10407435,4.551052452
IND,bangalore,16:30.0,1345.5,54,164.5,286,11,16:30.0,33.52291152,29.47090985,4.052001669
IND,bangalore,16:30.0,771.8,34,89.3,177,3,16:30.0,29.0004084,26.58885447,2.411553933
IND,bangalore,16:30.0,109.1,9,15.1,38,0,31:30.0,23.1559416,22.6878971,0.468044502
IND,bangalore,31:30.0,14.7,0,2.9,6,0,31:30.0,19.00021464,18.67585495,0.324359689
IND,bangalore,31:30.0,26.3,0,10.1,9,0,31:30.0,17.61970474,17.27765505,0.342049691
IND,bangalore,31:30.0,4.9,0,7.1,3,0,31:30.0,16.6537255,16.32485063,0.328874876
IND,bangalore,31:30.0,7.3,0,1.1,2,0,31:30.0,16.97355958,16.51848925,0.455070325
IND,bangalore,31:30.0,14.4,0,2,3,5,31:30.0,17.59584504,17.1386331,0.457211935
IND,bangalore,31:30.0,29.4,0,12.9,9,11,31:30.0,18.8147646,17.83949826,0.975266336
IND,bangalore,31:30.0,28.6,0,3.8,8,14,31:30.0,20.43043314,19.59285239,0.837580755
IND,bangalore,31:30.0,39.4,8,8.4,16,23,31:30.0,23.14752783,22.11824902,1.029278809
IND,bangalore,31:30.0,148.2,24,17.9,38,31,31:30.0,27.09261627,25.58403165,1.508584614
IND,bangalore,31:30.0,376.5,41,53.4,102,46,31:30.0,31.02811021,28.61092241,2.417187803
IND,bangalore,31:30.0,1191.5,61,137.4,268,58,31:30.0,35.73104136,32.01453599,3.716505374
IND,bangalore,46:30.0,1686,70,205.9,400,62,46:30.0,37.69489753,33.40961638,4.285281147
IND,bangalore,31:30.0,1730.4,69,211.4,402,62,46:30.0,37.48547347,33.33913587,4.146337598
IND,bangalore,16:30.0,1731.2,66,209.1,397,58,16:00.0,36.87070472,33.07375744,3.796947275
IND,bangalore,16:30.0,988.4,52,136.3,250,41,16:30.0,33.49323336,31.12906167,2.364171698
IND,bangalore,16:30.0,1005.1,48,135.9,243,37,16:30.0,32.52151793,29.60677417,2.914743754
IND,bangalore,16:30.0,697.5,42,88.7,184,34,16:30.0,31.26722274,28.48152581,2.785696928
IND,bangalore,31:30.0,529.4,38,66.2,152,35,31:30.0,30.45069761,28.08835231,2.362345302
IND,bangalore,31:30.0,835.4,45,100.3,211,37,31:30.0,32.05227122,29.04896259,3.003308628
IND,bangalore,31:30.0,946.1,49,117.2,229,36,01:30.0,33.01897285,29.81663613,3.202336718
IND,bangalore,31:30.0,1303.2,55,143.4,271,32,16:30.0,34.15414946,30.29895765,3.855191812
IND,bangalore,46:30.0,1347.7,56,160.5,291,26,16:30.0,34.18070707,30.40160026,3.779106809
IND,bangalore,16:30.0,1302.4,52,154.1,279,22,16:30.0,33.03946245,29.85652251,3.182939941
IND,bangalore,16:30.0,644.9,34,86.8,161,11,16:30.0,28.74708712,26.77308761,1.973999507
IND,bangalore,16:30.0,182.1,9,22.5,54,2,16:30.0,23.00306259,22.62147912,0.381583468
IND,bangalore,31:30.0,40.8,0,5.6,13,0,31:30.0,19.20941381,18.62720665,0.58220716
IND,bangalore,31:30.0,13.1,0,4.3,5,0,31:30.0,17.66950369,17.26424531,0.405258375
IND,bangalore,31:30.0,4.8,0,1.8,3,0,31:30.0,16.47781589,16.18257832,0.295237568
IND,bangalore,31:30.0,0,0,0,0,0,31:30.0,16.64438682,16.37855015,0.265836669
IND,bangalore,31:30.0,4.8,0,5,4,0,31:30.0,17.37367848,16.94394983,0.429728652
IND,bangalore,31:30.0,7.1,0,1.1,3,0,31:30.0,18.49540565,17.71641324,0.778992406
IND,bangalore,31:30.0,20.1,0,5.7,9,0,31:30.0,20.43829449,19.5450406,0.893253891
IND,bangalore,31:30.0,26.6,7,4,9,8,31:30.0,22.83498895,21.90935934,0.925629603
IND,bangalore,31:30.0,135.5,23,16.6,37,19,31:30.0,26.89077616,25.26248251,1.628293653
IND,bangalore,31:30.0,444,43,56.8,121,32,31:30.0,31.48173558,28.38389402,3.097841559
IND,bangalore,31:30.0,1323.6,64,160.3,326,49,31:30.0,36.34674178,31.59528605,4.751455735
IND,bangalore,46:30.0,1975.5,74,231.6,463,57,46:30.0,38.49738076,32.7936895,5.70369126
IND,bangalore,16:30.0,1905.5,70,228.8,442,54,16:30.0,37.64752141,32.5422319,5.105289511
IND,bangalore,16:30.0,1098.6,54,149.5,284,39,16:30.0,33.89929841,30.60519374,3.294104672
IND,bangalore,16:30.0,1077.5,49,138.3,280,35,16:30.0,32.80965555,29.18522269,3.624432866
IND,bangalore,16:30.0,726.7,42,93.3,195,31,16:30.0,31.0649451,28.05587391,3.009071188
IND,bangalore,31:30.0,541.2,40,69.9,143,31,31:30.0,30.67111974,27.68130984,2.9898099
IND,bangalore,31:30.0,785.9,46,93.4,196,33,31:30.0,32.23789934,28.37890421,3.858995126
IND,bangalore,31:30.0,912.4,50,108.2,205,34,16:30.0,33.19675274,28.81150785,4.385244886
IND,bangalore,31:30.0,1273.7,56,149.5,262,30,16:30.0,34.24081915,28.86338823,5.377430927
IND,bangalore,01:30.0,1413,57,165.2,294,26,16:30.0,34.25246956,28.97952786,5.272941692
IND,bangalore,16:30.0,1291.1,51,154.3,276,20,16:30.0,32.8950035,28.56897089,4.326032611
IND,bangalore,16:30.0,686.5,32,81.3,155,9,16:30.0,28.38435897,25.88631674,2.498042228
IND,bangalore,16:30.0,187.3,9,19.7,44,3,16:30.0,22.91533508,22.20572994,0.709605141
IND,bangalore,31:30.0,19.3,0,3.1,8,0,31:30.0,19.01063675,18.35639826,0.654238498
IND,bangalore,31:30.0,12.8,0,3.4,6,0,31:30.0,17.26135008,17.0144134,0.246936682
IND,bangalore,31:30.0,2.7,0,3.1,2,0,31:30.0,16.35054429,16.12618972,0.224354565
IND,bangalore,31:30.0,14,0,11.8,5,0,31:30.0,16.43054714,16.20124161,0.229305527
IND,bangalore,31:30.0,9.5,0,1.8,5,0,31:30.0,17.39095642,17.03694435,0.354012065
IND,bangalore,31:30.0,11,0,1.7,3,0,31:30.0,18.33286495,17.7304543,0.602410642
IND,bangalore,31:30.0,8.1,0,2.5,4,0,31:30.0,20.35025239,19.57604807,0.774204319
IND,bangalore,31:30.0,77.1,10,10.2,23,11,31:30.0,23.17202394,21.93990072,1.232123226
IND,bangalore,31:30.0,151.9,21,18.4,48,19,31:30.0,25.57989385,24.55653985,1.023353998
IND,bangalore,31:30.0,267,29,30.2,80,26,31:30.0,27.54355213,26.48465844,1.058893687
IND,bangalore,31:30.0,408.8,38,52.5,125,35,31:30.0,29.52178824,28.26785716,1.25393108
IND,bangalore,46:30.0,604.7,41,78.2,184,37,46:30.0,30.107207,28.54399358,1.563213423
IND,bangalore,16:30.0,544.8,38,63.2,159,34,16:30.0,29.58300524,28.11226754,1.4707377
IND,bangalore,16:30.0,388.6,29,45.5,119,25,16:30.0,27.46245228,26.7833998,0.679052476
IND,bangalore,01:30.0,337.3,27,38.4,108,22,01:30.0,27.04334249,26.14756214,0.895780351
IND,bangalore,31:30.0,335.2,26,36.3,96,20,16:30.0,27.03180938,25.93794608,1.093863303
IND,bangalore,31:30.0,466.9,29,54.2,129,22,31:30.0,27.83895166,26.38811729,1.450834375
IND,bangalore,31:30.0,411.8,31,46.8,118,24,31:30.0,28.20681572,26.71479867,1.49201705
IND,bangalore,16:30.0,433.1,31,50.5,124,23,16:30.0,28.15528457,26.68586253,1.469422048
IND,bangalore,16:30.0,269.7,23,28.5,84,19,16:30.0,26.50274591,25.8552721,0.647473806
IND,bangalore,16:30.0,113.4,15,13.3,42,13,16:30.0,24.82611566,24.53048974,0.295625923
IND,bangalore,16:30.0,58.9,8,7.8,20,8,16:30.0,23.20586033,23.23836853,-0.032508198
IND,bangalore,16:30.0,38.1,2,4.5,15,3,16:30.0,21.6278072,21.62867168,-0.00086448
IND,bangalore,31:30.0,16.6,0,2.2,7,0,31:30.0,19.00160378,18.70998563,0.291618154
IND,bangalore,31:30.0,29.1,0,4.5,10,0,31:30.0,18.27431904,17.7370205,0.537298535
IND,bangalore,31:30.0,8.8,0,1.2,2,0,31:30.0,17.0136986,16.86859282,0.145105781
IND,bangalore,31:30.0,4.1,0,0.6,2,0,31:30.0,16.68308846,16.34244638,0.340642084
IND,bangalore,31:30.0,15.1,0,9.1,6,0,31:30.0,17.21651122,16.81173512,0.404776108
IND,bangalore,31:30.0,0,0,0,0,0,31:30.0,18.41211886,18.09954823,0.312570635
IND,bangalore,31:30.0,46.1,0,6.4,10,0,31:30.0,19.84312514,18.93140044,0.911724692
IND,bangalore,31:30.0,72.3,3,10.1,19,6,31:30.0,21.78240529,21.01530261,0.767102674
IND,bangalore,31:30.0,136,15,18.6,35,16,31:30.0,24.74208762,23.63281492,1.109272701
IND,bangalore,31:30.0,258.4,28,29.1,75,26,31:30.0,27.55325157,26.81973381,0.733517759
IND,bangalore,31:30.0,420.1,41,51.3,128,35,31:30.0,30.50961072,29.5278467,0.981764014
IND,bangalore,31:30.0,1143.8,60,136.5,310,49,31:30.0,34.72478445,32.27476573,2.450018724
IND,bangalore,46:30.0,1708.7,65,197.3,439,55,46:30.0,35.90066134,32.9665053,2.934156041
IND,bangalore,16:30.0,1638.7,60,196.1,429,51,16:30.0,34.97652431,32.51765276,2.45887155
IND,bangalore,31:30.0,895.4,45,105.1,237,39,01:30.0,31.56748171,29.99847849,1.569003217
IND,bangalore,01:30.0,902.4,45,115.2,254,38,01:30.0,31.4803171,29.82161808,1.658699021
IND,bangalore,31:30.0,823.4,43,103.8,230,36,16:30.0,31.07720476,29.55504822,1.522156545
IND,bangalore,31:30.0,823.8,47,103.4,248,35,46:30.0,32.01117006,30.20092614,1.810243923
IND,bangalore,46:30.0,998.2,49,117.2,273,36,31:30.0,32.55185838,30.54828587,2.003572516
IND,bangalore,16:30.0,935.5,47,113.2,276,35,16:30.0,32.09072214,30.31383132,1.776890813
IND,bangalore,16:30.0,576.3,38,67,173,29,16:30.0,30.27165073,28.96846699,1.30318374
IND,bangalore,16:30.0,330.7,29,35.7,102,20,16:30.0,28.1606938,27.09281196,1.067881837
IND,bangalore,16:30.0,152.7,21,22.3,50,14,16:30.0,26.51844955,25.62382002,0.894629529
IND,bangalore,16:30.0,82.4,10,7.3,24,8,16:30.0,23.79166096,23.54644246,0.245218496
IND,bangalore,16:30.0,43.6,1,4.8,17,0,31:30.0,21.34267135,21.30376326,0.038908087
IND,bangalore,31:30.0,21.9,0,3.9,8,0,31:30.0,19.80404957,19.64371583,0.16033374
IND,bangalore,31:30.0,60,0,7.9,15,0,31:30.0,18.97432601,18.28112147,0.69320454
IND,bangalore,31:30.0,15.9,0,7.1,6,0,31:30.0,17.44021682,17.13077625,0.309440569
IND,bangalore,31:30.0,10,0,7.3,6,0,31:30.0,16.7427642,16.49239423,0.250369979
IND,bangalore,31:30.0,7,0,3.5,4,0,31:30.0,16.9738054,16.77424865,0.199556755
IND,bangalore,31:30.0,6.2,0,2.1,3,0,31:30.0,17.88678632,17.62830185,0.258484465
IND,bangalore,31:30.0,39.1,0,8,14,0,31:30.0,19.26880228,18.55717428,0.711628
IND,bangalore,31:30.0,77.1,0,11.9,19,2,31:30.0,21.17874284,20.54338047,0.635362375
IND,bangalore,31:30.0,89,9,10.4,25,12,31:30.0,23.52443728,23.17877117,0.345666107
IND,bangalore,31:30.0,124.7,21,15.5,38,21,31:30.0,26.28892396,26.66070372,-0.371779765
IND,bangalore,31:30.0,259,34,31.1,73,30,31:30.0,29.46427191,29.53572473,-0.07145282
IND,bangalore,31:30.0,810.4,53,97.1,214,43,31:30.0,33.68177378,32.35095118,1.330822595
IND,bangalore,31:30.0,1299.4,60,162.8,357,51,31:30.0,35.06795542,33.10442086,1.96353456
IND,bangalore,16:30.0,1159.6,57,145.9,325,49,16:30.0,34.49751531,32.87141988,1.626095426
